"Month Day, Year"	"Month Day, Year Code"	"Avg Daily Max Air Temperature (F)"	"Avg Daily Min Air Temperature (F)"
	"Apr 10, 2011"	"2011/04/10"	70.400	45.300
	"Apr 11, 2011"	"2011/04/11"	87.500	53.600
	"Apr 12, 2011"	"2011/04/12"	69.500	49.700
	"Apr 13, 2011"	"2011/04/13"	55.400	46.800
	"Apr 14, 2011"	"2011/04/14"	68.100	42.600
	"Apr 15, 2011"	"2011/04/15"	64.400	45.400
	"Apr 16, 2011"	"2011/04/16"	62.900	44.800
	"Apr 17, 2011"	"2011/04/17"	64.200	48.200
	"Apr 18, 2011"	"2011/04/18"	72.600	46.300
	"Apr 19, 2011"	"2011/04/19"	67.600	50.700
	"Apr 20, 2011"	"2011/04/20"	82.200	53.000
	"Apr 21, 2011"	"2011/04/21"	57.100	42.300
	"Apr 22, 2011"	"2011/04/22"	50.700	39.800
	"Apr 23, 2011"	"2011/04/23"	76.600	44.800
	"Apr 24, 2011"	"2011/04/24"	83.700	60.300
	"Apr 25, 2011"	"2011/04/25"	86.700	64.900
	"Apr 26, 2011"	"2011/04/26"	82.800	64.800
	"Apr 27, 2011"	"2011/04/27"	80.700	63.100
	"Apr 28, 2011"	"2011/04/28"	77.900	54.500
	"Apr 29, 2011"	"2011/04/29"	66.000	49.500
	"Apr 30, 2011"	"2011/04/30"	62.800	47.100
	"May 01, 2011"	"2011/05/01"	63.500	49.200
	"May 02, 2011"	"2011/05/02"	78.300	53.700
	"May 03, 2011"	"2011/05/03"	82.800	58.900
	"May 04, 2011"	"2011/05/04"	62.300	44.700
	"May 05, 2011"	"2011/05/05"	64.200	39.800
	"May 06, 2011"	"2011/05/06"	68.600	42.100
	"May 07, 2011"	"2011/05/07"	71.000	48.000
	"May 08, 2011"	"2011/05/08"	71.300	49.100
	"May 09, 2011"	"2011/05/09"	69.900	49.500
	"May 10, 2011"	"2011/05/10"	71.500	45.500
	"May 11, 2011"	"2011/05/11"	71.100	51.000
	"May 12, 2011"	"2011/05/12"	69.500	54.200
	"May 13, 2011"	"2011/05/13"	66.100	55.700
	"May 14, 2011"	"2011/05/14"	74.400	54.800
	"May 15, 2011"	"2011/05/15"	75.500	58.800
	"May 16, 2011"	"2011/05/16"	74.500	58.300
	"May 17, 2011"	"2011/05/17"	70.100	58.900
	"May 18, 2011"	"2011/05/18"	72.200	57.300
	"May 19, 2011"	"2011/05/19"	70.400	59.400
	"May 20, 2011"	"2011/05/20"	71.200	54.600
	"May 21, 2011"	"2011/05/21"	78.400	56.400
	"May 22, 2011"	"2011/05/22"	78.500	61.300
	"May 23, 2011"	"2011/05/23"	85.400	62.200
	"May 24, 2011"	"2011/05/24"	84.900	64.900
	"May 25, 2011"	"2011/05/25"	83.900	66.800
	"May 26, 2011"	"2011/05/26"	90.600	64.500
	"May 27, 2011"	"2011/05/27"	84.800	67.400
	"May 28, 2011"	"2011/05/28"	80.200	68.000
	"May 29, 2011"	"2011/05/29"	87.700	67.900
	"May 30, 2011"	"2011/05/30"	92.700	70.300
	"May 31, 2011"	"2011/05/31"	92.800	72.500
	"Jun 01, 2011"	"2011/06/01"	93.300	70.200
	"Jun 02, 2011"	"2011/06/02"	80.000	56.000
	"Jun 03, 2011"	"2011/06/03"	74.200	51.200
	"Jun 04, 2011"	"2011/06/04"	79.700	52.200
	"Jun 05, 2011"	"2011/06/05"	82.800	63.500
	"Jun 06, 2011"	"2011/06/06"	83.400	61.200
	"Jun 07, 2011"	"2011/06/07"	87.700	60.600
	"Jun 08, 2011"	"2011/06/08"	93.300	67.100
	"Jun 09, 2011"	"2011/06/09"	94.900	73.500
	"Jun 10, 2011"	"2011/06/10"	89.200	69.800
	"Jun 11, 2011"	"2011/06/11"	88.100	70.800
	"Jun 12, 2011"	"2011/06/12"	84.800	68.000
	"Jun 13, 2011"	"2011/06/13"	74.600	57.700
	"Jun 14, 2011"	"2011/06/14"	76.000	54.200
	"Jun 15, 2011"	"2011/06/15"	78.200	57.700
	"Jun 16, 2011"	"2011/06/16"	81.800	58.600
	"Jun 17, 2011"	"2011/06/17"	83.200	66.400
	"Jun 18, 2011"	"2011/06/18"	88.100	68.100
	"Jun 19, 2011"	"2011/06/19"	82.800	71.600
	"Jun 20, 2011"	"2011/06/20"	77.800	65.700
	"Jun 21, 2011"	"2011/06/21"	87.900	65.400
	"Jun 22, 2011"	"2011/06/22"	90.400	69.300
	"Jun 23, 2011"	"2011/06/23"	88.000	70.400
	"Jun 24, 2011"	"2011/06/24"	84.900	64.100
	"Jun 25, 2011"	"2011/06/25"	81.000	61.100
	"Jun 26, 2011"	"2011/06/26"	82.100	66.300
	"Jun 27, 2011"	"2011/06/27"	83.000	68.200
	"Jun 28, 2011"	"2011/06/28"	92.200	68.200
	"Jun 29, 2011"	"2011/06/29"	83.900	64.000
	"Jun 30, 2011"	"2011/06/30"	82.800	61.100
	"Jul 01, 2011"	"2011/07/01"	84.700	65.000
	"Jul 02, 2011"	"2011/07/02"	89.300	62.500
	"Jul 03, 2011"	"2011/07/03"	91.800	70.100
	"Jul 04, 2011"	"2011/07/04"	90.000	73.100
	"Jul 05, 2011"	"2011/07/05"	89.200	73.000
	"Jul 06, 2011"	"2011/07/06"	90.700	71.000
	"Jul 07, 2011"	"2011/07/07"	93.500	70.600
	"Jul 08, 2011"	"2011/07/08"	91.100	71.400
	"Jul 09, 2011"	"2011/07/09"	89.600	68.400
	"Jul 10, 2011"	"2011/07/10"	90.300	68.900
	"Jul 11, 2011"	"2011/07/11"	95.400	70.500
	"Jul 12, 2011"	"2011/07/12"	97.600	75.600
	"Jul 13, 2011"	"2011/07/13"	92.900	69.300
	"Jul 14, 2011"	"2011/07/14"	81.800	63.600
	"Jul 15, 2011"	"2011/07/15"	83.500	62.200
	"Jul 16, 2011"	"2011/07/16"	87.700	61.500
	"Jul 17, 2011"	"2011/07/17"	88.700	68.200
	"Jul 18, 2011"	"2011/07/18"	95.700	68.100
	"Jul 19, 2011"	"2011/07/19"	94.600	72.800
	"Jul 20, 2011"	"2011/07/20"	93.800	77.200
	"Jul 21, 2011"	"2011/07/21"	101.500	76.100
	"Jul 22, 2011"	"2011/07/22"	105.200	79.100
	"Jul 23, 2011"	"2011/07/23"	101.000	80.500
	"Jul 24, 2011"	"2011/07/24"	97.600	77.200
	"Jul 25, 2011"	"2011/07/25"	92.500	76.000
	"Jul 26, 2011"	"2011/07/26"	96.200	73.600
	"Jul 27, 2011"	"2011/07/27"	92.500	69.800
	"Jul 28, 2011"	"2011/07/28"	99.300	68.700
	"Jul 29, 2011"	"2011/07/29"	103.300	74.800
	"Jul 30, 2011"	"2011/07/30"	96.500	75.400
	"Jul 31, 2011"	"2011/07/31"	95.900	72.000
	"Aug 01, 2011"	"2011/08/01"	96.900	67.400
	"Aug 02, 2011"	"2011/08/02"	95.800	67.400
	"Aug 03, 2011"	"2011/08/03"	89.500	71.800
	"Aug 04, 2011"	"2011/08/04"	90.200	69.700
	"Aug 05, 2011"	"2011/08/05"	89.600	70.600
	"Aug 06, 2011"	"2011/08/06"	88.900	71.500
	"Aug 07, 2011"	"2011/08/07"	93.300	73.900
	"Aug 08, 2011"	"2011/08/08"	94.500	73.100
	"Aug 09, 2011"	"2011/08/09"	94.600	71.000
	"Aug 10, 2011"	"2011/08/10"	92.800	67.200
	"Aug 11, 2011"	"2011/08/11"	87.000	65.600
	"Aug 12, 2011"	"2011/08/12"	89.300	61.800
	"Aug 13, 2011"	"2011/08/13"	84.000	67.700
	"Aug 14, 2011"	"2011/08/14"	85.500	72.000
	"Aug 15, 2011"	"2011/08/15"	83.000	67.000
	"Aug 16, 2011"	"2011/08/16"	83.900	65.300
	"Aug 17, 2011"	"2011/08/17"	89.200	65.300
	"Aug 18, 2011"	"2011/08/18"	90.200	69.900
	"Aug 19, 2011"	"2011/08/19"	89.300	70.800
	"Aug 20, 2011"	"2011/08/20"	88.300	67.700
	"Aug 21, 2011"	"2011/08/21"	91.700	69.600
	"Aug 22, 2011"	"2011/08/22"	81.800	58.300
	"Aug 23, 2011"	"2011/08/23"	80.500	54.900
	"Aug 24, 2011"	"2011/08/24"	87.800	58.200
	"Aug 25, 2011"	"2011/08/25"	87.300	69.300
	"Aug 26, 2011"	"2011/08/26"	87.000	68.800
	"Aug 27, 2011"	"2011/08/27"	82.200	71.400
	"Aug 28, 2011"	"2011/08/28"	83.600	65.500
	"Aug 29, 2011"	"2011/08/29"	75.100	63.300
	"Aug 30, 2011"	"2011/08/30"	81.800	58.800
	"Aug 31, 2011"	"2011/08/31"	81.800	60.500
	"Sep 01, 2011"	"2011/09/01"	82.500	61.300
	"Sep 02, 2011"	"2011/09/02"	78.700	66.500
	"Sep 03, 2011"	"2011/09/03"	87.000	67.500
	"Sep 04, 2011"	"2011/09/04"	89.500	67.600
	"Sep 05, 2011"	"2011/09/05"	81.900	71.800
	"Sep 06, 2011"	"2011/09/06"	73.500	63.500
	"Sep 07, 2011"	"2011/09/07"	74.100	68.100
	"Sep 08, 2011"	"2011/09/08"	75.200	66.700
	"Sep 09, 2011"	"2011/09/09"	75.300	62.500
	"Sep 10, 2011"	"2011/09/10"	81.700	63.500
	"Sep 11, 2011"	"2011/09/11"	81.400	67.400
	"Sep 12, 2011"	"2011/09/12"	81.200	65.900
	"Sep 13, 2011"	"2011/09/13"	83.100	67.200
	"Sep 14, 2011"	"2011/09/14"	86.200	65.000
	"Sep 15, 2011"	"2011/09/15"	77.800	50.300
	"Sep 16, 2011"	"2011/09/16"	64.700	45.700
	"Sep 17, 2011"	"2011/09/17"	61.100	53.700
	"Sep 18, 2011"	"2011/09/18"	68.000	53.700
	"Sep 19, 2011"	"2011/09/19"	69.900	59.000
	"Sep 20, 2011"	"2011/09/20"	73.200	62.400
	"Sep 21, 2011"	"2011/09/21"	77.600	63.200
	"Sep 22, 2011"	"2011/09/22"	81.900	67.200
	"Sep 23, 2011"	"2011/09/23"	76.000	68.300
	"Sep 24, 2011"	"2011/09/24"	79.700	66.000
	"Sep 25, 2011"	"2011/09/25"	78.600	66.500
	"Sep 26, 2011"	"2011/09/26"	79.000	68.500
	"Sep 27, 2011"	"2011/09/27"	79.300	68.300
	"Sep 28, 2011"	"2011/09/28"	79.000	68.400
	"Sep 29, 2011"	"2011/09/29"	75.900	60.400
	"Sep 30, 2011"	"2011/09/30"	77.200	55.300
	"Oct 01, 2011"	"2011/10/01"	55.300	48.200
	"Oct 02, 2011"	"2011/10/02"	49.900	45.700
	"Oct 03, 2011"	"2011/10/03"	55.700	44.400
	"Oct 04, 2011"	"2011/10/04"	65.300	46.700
	"Oct 05, 2011"	"2011/10/05"	71.200	51.300
	"Oct 06, 2011"	"2011/10/06"	67.300	48.200
	"Oct 07, 2011"	"2011/10/07"	69.800	47.700
	"Oct 08, 2011"	"2011/10/08"	71.400	51.000
	"Oct 09, 2011"	"2011/10/09"	77.300	50.500
	"Oct 10, 2011"	"2011/10/10"	79.400	55.000
	"Oct 11, 2011"	"2011/10/11"	73.300	59.100
	"Oct 12, 2011"	"2011/10/12"	65.600	62.000
	"Oct 13, 2011"	"2011/10/13"	72.600	59.500
	"Oct 14, 2011"	"2011/10/14"	67.000	50.700
	"Oct 15, 2011"	"2011/10/15"	66.200	47.500
	"Oct 16, 2011"	"2011/10/16"	68.600	45.000
	"Oct 17, 2011"	"2011/10/17"	71.900	53.800
	"Oct 18, 2011"	"2011/10/18"	72.900	51.200
	"Oct 19, 2011"	"2011/10/19"	66.700	59.900
	"Oct 20, 2011"	"2011/10/20"	63.900	48.400
	"Oct 21, 2011"	"2011/10/21"	56.500	46.700
	"Oct 22, 2011"	"2011/10/22"	59.100	47.900
	"Oct 23, 2011"	"2011/10/23"	61.500	48.400
	"Oct 24, 2011"	"2011/10/24"	65.400	45.200
	"Oct 25, 2011"	"2011/10/25"	65.000	44.800
	"Oct 26, 2011"	"2011/10/26"	60.500	45.500
	"Oct 27, 2011"	"2011/10/27"	63.900	43.000
	"Oct 28, 2011"	"2011/10/28"	47.400	34.300
	"Oct 29, 2011"	"2011/10/29"	43.300	36.000
	"Oct 30, 2011"	"2011/10/30"	49.400	31.200
	"Oct 31, 2011"	"2011/10/31"	53.500	33.000
	"Nov 01, 2011"	"2011/11/01"	57.600	39.600
	"Nov 02, 2011"	"2011/11/02"	58.400	38.800
	"Nov 03, 2011"	"2011/11/03"	61.200	37.500
	"Nov 04, 2011"	"2011/11/04"	56.400	37.000
	"Nov 05, 2011"	"2011/11/05"	49.700	31.700
	"Nov 06, 2011"	"2011/11/06"	55.500	34.300
	"Nov 07, 2011"	"2011/11/07"	62.700	36.800
	"Nov 08, 2011"	"2011/11/08"	64.100	40.800
	"Nov 09, 2011"	"2011/11/09"	61.700	38.200
	"Nov 10, 2011"	"2011/11/10"	57.500	39.700
	"Nov 11, 2011"	"2011/11/11"	46.000	33.300
	"Nov 12, 2011"	"2011/11/12"	56.300	30.700
	"Nov 13, 2011"	"2011/11/13"	59.600	34.900
	"Nov 14, 2011"	"2011/11/14"	70.100	45.500
	"Nov 15, 2011"	"2011/11/15"	65.700	54.800
	"Nov 16, 2011"	"2011/11/16"	62.700	54.500
	"Nov 17, 2011"	"2011/11/17"	54.500	31.700
	"Nov 18, 2011"	"2011/11/18"	43.700	28.900
	"Nov 19, 2011"	"2011/11/19"	50.300	29.100
	"Nov 20, 2011"	"2011/11/20"	66.500	38.700
	"Nov 21, 2011"	"2011/11/21"	59.100	53.200
	"Nov 22, 2011"	"2011/11/22"	57.700	52.300
	"Nov 23, 2011"	"2011/11/23"	64.400	39.600
	"Nov 24, 2011"	"2011/11/24"	54.500	34.100
	"Nov 25, 2011"	"2011/11/25"	60.700	36.500
	"Nov 26, 2011"	"2011/11/26"	62.200	37.400
	"Nov 27, 2011"	"2011/11/27"	65.600	40.900
	"Nov 28, 2011"	"2011/11/28"	68.100	52.700
	"Nov 29, 2011"	"2011/11/29"	61.300	43.700
	"Nov 30, 2011"	"2011/11/30"	47.000	38.900
	"Dec 01, 2011"	"2011/12/01"	49.000	31.800
	"Dec 02, 2011"	"2011/12/02"	51.300	33.100
	"Dec 03, 2011"	"2011/12/03"	46.500	31.100
	"Dec 04, 2011"	"2011/12/04"	53.000	33.800
	"Dec 05, 2011"	"2011/12/05"	59.300	38.800
	"Dec 06, 2011"	"2011/12/06"	61.600	53.600
	"Dec 07, 2011"	"2011/12/07"	60.500	41.900
	"Dec 08, 2011"	"2011/12/08"	43.500	32.200
	"Dec 09, 2011"	"2011/12/09"	48.700	31.800
	"Dec 10, 2011"	"2011/12/10"	42.100	29.300
	"Dec 11, 2011"	"2011/12/11"	39.600	28.700
	"Dec 12, 2011"	"2011/12/12"	43.200	28.200
	"Dec 13, 2011"	"2011/12/13"	46.700	28.400
	"Dec 14, 2011"	"2011/12/14"	46.500	33.300
	"Dec 15, 2011"	"2011/12/15"	58.000	39.700
	"Dec 16, 2011"	"2011/12/16"	54.400	40.600
	"Dec 17, 2011"	"2011/12/17"	40.600	34.300
	"Dec 18, 2011"	"2011/12/18"	39.800	31.300
	"Dec 19, 2011"	"2011/12/19"	52.400	29.600
	"Dec 20, 2011"	"2011/12/20"	53.700	43.800
	"Dec 21, 2011"	"2011/12/21"	59.400	43.700
	"Dec 22, 2011"	"2011/12/22"	62.500	50.200
	"Dec 23, 2011"	"2011/12/23"	54.900	40.500
	"Dec 24, 2011"	"2011/12/24"	43.400	37.800
	"Dec 25, 2011"	"2011/12/25"	49.300	31.000
	"Dec 26, 2011"	"2011/12/26"	46.900	33.600
	"Dec 27, 2011"	"2011/12/27"	50.600	33.000
	"Dec 28, 2011"	"2011/12/28"	46.400	31.300
	"Dec 29, 2011"	"2011/12/29"	41.500	29.300
	"Dec 30, 2011"	"2011/12/30"	49.300	31.700
	"Dec 31, 2011"	"2011/12/31"	57.800	39.700
